1,9600
2,4300
3,6100
4,6900
5,7200
6,9400
7,12100
8,13300
9,16100
10,19900
11,21200
12,24300
13,27000
14,47900
15,35600
16,37800
17,43200
18,61600
19,58400
20,62400
21,62400
22,73300
23,74500
24,85100
25,83500
26,108300
27,99100
28,106400
29,117400
30,117700
31,126900
32,154500
33,149200
34,206000
35,222400
36,236300
37,234700
38,274900
39,269500
40,244200
41,255200
42,295300
43,317600
44,305000
45,346100
46,375800
47,341100
48,417300
49,388800
50,544900
51,453300
52,409000
53,407000
54,473200
55,303600
56,304800
57,319100
58,331500
59,342200
60,332500
61,357400
62,375600
63,560600
64,498700
65,673600
66,415600
67,438000
68,483700
69,480800
70,547300
71,604300
72,538100
73,563400
74,589000
75,603300
76,583500
77,575300
78,587700
79,570900
80,551200
81,559900
82,617700
83,593400
84,783500
85,667400
86,670100
87,949000
88,1054100
89,1062800
90,836200
91,801100
92,781700
93,874200
94,905200
95,882000
96,844700
97,804500
98,802600
99,1041300
100,891100
